Title,Content,CreationDate,Score,Post(id),Author(id)
Page numbering - removing page number from first page,"<p>How do you turn off page numbering from the first page in a LaTeX document?</p>
",10/02/2012 22:09,18,212,287
shrinking tables for presentations,"<p>What is the most convenient way to shrink a table to fit in a beamer slide?</p>
",08/11/2010 03:26,30,213,153
Start pdf viewer in presentation mode,"<p>Is there a way to let pdf viewers automatically start in presentation mode?</p>
",01/12/2010 08:54,22,214,614
Detect whether I'm in a \footnote?,"<p>How do I detect whether I'm in a <code>\footnote</code> environment or not?</p>
",15/04/2014 17:29,10,215,39
How to add 7 lines for address in moderncv?,"<p>I need to have 7 lines for address in moderncvv. I am using classic style. </p>
",10/12/2014 11:01,1,216,979
How to increase the font size of the body in tikzposter?,"<p>currently, the maximum is 25 pt. I would like to make it bigger than that. </p>
",08/07/2019 06:21,0,217,983
Shortcut for inserting \item in TeXstudio,"<p>Is there a shortcut for printing <code>\item</code>, while creating a list?</p>
",17/06/2018 10:01,0,218,677
How to write crossed north east and south east arrows?,"<p>A contravariant mappings f. I need the explanation of crossed arrows symbol</p>
",29/05/2019 04:46,4,219,887
Is there a package to secure rendered pdf with a password?,"<p>Is there a package and command that can secure rendered pdf with a password?</p>
",27/07/2011 09:33,21,220,118
How to make the font larger for bibliography,"<p>I want to make the font for bibliography (BibTeX) larger, how can I do that?</p>
",15/02/2013 10:41,0,221,986
"Cursive, lowercase ell","<p>What is the easiest way to make a cursive, lowercase ell in LaTeX math mode?</p>
",17/08/2010 19:17,62,222,736
error note when trying to latex a list of figure captions,"<p>What does @xdblarg mean as an error note with respect to a list of figures? </p>
",01/07/2015 18:44,0,223,79
Importing Table form Latex to Excel.,"<p>Is there any way to Import a table from Latex to Excel or any other format ?</p>
",09/10/2015 08:42,2,224,704
Printing a cross across another symbol,"<p>Is there any command or macro for printing a character with a cross over it?</p>
",03/09/2014 13:11,4,225,490
Is there such a thing as a font viewer,"<p>How do you know what glyphs are in a font?  Is there a tool that shows them?</p>
",13/11/2014 09:09,6,226,423
Is it necessary to use nonstopmode in ConTeXt?,"<p>Is it necessary to use --nonstopmode in ConTeXt  or using --once is enough ?</p>
",17/01/2016 16:48,1,227,684
MikTex for 32 bit windows 7,"<p>please anybody provide me the link to download MikTex for 32 bit windows 7. </p>
",13/08/2017 17:50,3,228,235
Is pandoc's markdown to LaTeX conversion missing anything?,"<p>That is, are there any features that the users of pandoc + MD wish they had?</p>
",15/09/2019 16:06,0,229,430
Superscript text mode or outside math mode,"<p>What is the easiest way to superscript in text mode or outside of math mode?</p>
",18/04/2020 14:24,0,230,608
Is there any support for Esperanto in LaTeX?,"<p>Is Esperanto supported by LaTeX? And, if so, are there any required packages?</p>
",15/08/2012 19:51,6,231,890
Can we remove the ( ) bracket from Theorem 1.2.1 ( [7]),"<p>Can we remove the ( ) bracket from the environment like Theorem 1.2.1 ( [7]).</p>
",25/11/2013 14:48,6,232,911
Control command arguments,"<p>Can I define a command that takes an argument but does not eval the argument?</p>
",05/03/2011 15:53,12,233,14
How to change the opacity of PSTricks strokes?,"<p>I need to change the opacity of PSTricks strokes, is it possible to do this? </p>
",12/12/2011 10:02,6,234,650
How to insert a trademark symbol? (tm),"<p>How do you insert a trademark symbol in LaTeX? That is, the ""TM"" superscript.</p>
",01/04/2014 16:55,79,235,912
"how to write in TeX ""computer zero"" with slanted vertical line on it?","<p>In TeX, how is computing zero sign written with slanted vertical line on it? </p>
",05/04/2016 15:31,3,236,827
How to change the beamer font to Lucida Console?,"<p>I want to change my beamer's font to lucida console. I try but can not do it.</p>
",11/08/2017 06:21,2,237,698
Unicode Three-D top-lighted rightwards equilateral arrowhead Symbol XeLaTeX,"<p>How would you typeset the ⮚ character in XeLaTeX (Unicode character 11162)?</p>
",11/08/2017 22:13,1,238,234
Quoting tweets inside a LaTeX document?,"<p>Is there a package to typeset tweets in a more fancy way than simply quoting?</p>
",06/08/2016 00:17,8,239,619
How to fix TexShop editor textwidth to 80 symbols,"<p>Hi i have to limit my tex-code to 80 symbols width. Is that possible somehow?</p>
",08/01/2017 19:19,0,240,868
how to write a complete text using calligraphic fonts?,"<p>I like to write a complete text using a calligraphic font. Any hints?
Ulises</p>
",27/08/2019 16:50,2,241,192
How to go to the next line in a begin description,"<p>How can I make it so that when a line gets too long it goes to the next line?</p>
",09/02/2020 14:53,0,242,657
Adding coordinates to grid in tikz,"<p>Is there a simple way to add coordinate (left and bottom) to the grid in tikz?</p>
",26/04/2013 15:58,5,243,827
Smalltalk syntax highlighting for Latex,"<p>What is the easiest way to format Smalltalk syntax using the listings package?</p>
",25/06/2012 19:28,2,244,238
using Mac OS X dictionaries in TexStudio,"<p>Is there a way to include Mac OS X built-in dictionary/thesaurus in TeXStudio?</p>
",03/07/2014 08:13,4,245,100
Singapore theme sections header but in default theme,"<p>how can I have all the sections header (as in Singapore) in a ""default"" theme?</p>
",07/09/2017 16:59,1,246,554
How to write an integral (not in italic) in LaTeX,"<p>I wanted to know how to write in LaTeX an integral but not in italic. Please! </p>
",08/12/2016 18:33,0,247,260
How can I reduce the size of index numbers? (I'm using makeidx package),"<p>I want to reduce the font size of the numbers that shown in index.
\Thanks :)</p>
",07/08/2019 17:39,0,248,791
How to write percentile symbol in latex?,"<p>I want to write percentile (‰) symbol in latex. I've tried \‰ but it can't</p>
",01/05/2020 15:33,1,249,320
how to remove lines,"<p>Which option should I use to remove the axis lines, except the t and x(t) axis</p>
",08/05/2020 23:39,1,250,409
Label sides of rectangles and triangles,"<p>What is the easiest way to label the sides of rectangles and triangles in TikZ?</p>
",15/03/2011 18:02,12,251,792
How can I make my pgfplots ylabel multiline?,"<p>My pgfplots ylabel text is too long and looks strange. Can I make it multiline?</p>
",20/04/2011 02:56,40,252,141
How do I prevent TeX from hyphenating acronyms?,"<p>Upper-case words look awkward when hyphenated. How do I suppress this behavior?</p>
",18/03/2012 01:02,16,253,448
How to write upper case \varepsilon in LaTeX math environment?,"<p>I need the uppercase of this sign <code>$\varepsilon$</code> how to I get that?</p>
",01/07/2013 19:46,22,254,570
How to get section numbers and page numbers with Bengali numerals in latex or xetex?,"<p>How i can give section numbers and page numbers with Bengali numerals in latex?</p>
",25/05/2015 18:04,2,255,466
I want donot have page number in the top and bottom of the pages,"<p>I want to remove the number pages from the file. How can I do? Please help me. </p>
",24/03/2014 15:00,-1,256,887
How to get times new roman font in beamer?,"<p>I am using Warsaw theme. I want my beamer slides to have times new roman font. </p>
",19/03/2017 19:11,3,257,957
How can we write text along the circular path in latex?,"<p>Can somebody explain me the basics how can we do that?
Thanking you in advance</p>
",05/05/2017 10:07,0,258,576
How to make the title larger in Tikz poster?,"<p>How does one increase the font size of the title of a poster using Tikz Poster?</p>
",24/04/2016 17:45,1,259,492
"Is it possible to get LaTeX to write ""\"" out","<p>I need to write a backslach but LaTeX always wants a command after . Any ideas?</p>
",02/11/2017 19:04,0,260,332
How do I change the color of itemize bullet? specific and default,"<p>I want to change the color of the bullet on <code>itemize</code>. How to do so?</p>
",16/09/2016 21:08,20,261,261
Lipsum text generator for an index,"<p>Is there something like <code>lipsum</code> package but for generating an index?</p>
",14/10/2012 20:30,9,262,14
What is the use of the command \IeC?,"<p>It is produced in streams by <code>newfile</code> when I use special characters.</p>
",15/10/2011 09:23,13,263,895
Theorem-like environments in Latexit?,"<p>I want to use Theorem-like environments in Latexit.</p>

<p>How can I do this?</p>
",06/01/2012 10:49,1,264,51
How to open installed docs,"<p>I have downloaded texlive-docs using ubuntu repository. How can I view/use them?</p>
",18/05/2013 14:53,9,265,752
How to draw spherical triangles?,"<p>Does anyone know how to draw spherical arcs and spherical triangles using LaTeX?</p>
",25/08/2013 05:37,19,266,665
How do you code for a 'not equivalent' sign in TeX?,"<p>I can get the not equal to sign, but can't seem to find the not equivalent sign!</p>
",09/09/2015 13:42,2,267,174
Is there any shortcut command to compile or is it just clicking the green play button?,"<p>Yep. That's my question. Huh. I need to fill this when I actually don't need to.</p>
",04/09/2017 11:00,1,268,959
How to set cambria math as math font for pdflatex,"<p>How can I make pdflatex use cambria for math fonts and uarial for the body font?</p>
",10/01/2016 14:28,8,269,542
Average number of characters in one line,"<p>How can I calculate the average number of the characters per line of my document?</p>
",18/08/2012 13:14,6,270,432
"Which one should be used in limit, \rightarrow or \to?","<p>Which one should be used  in limit, <code>\rightarrow</code> or <code>\to</code>?</p>
",27/05/2011 06:34,26,271,477
Subtitle with the \maketitle page?,"<p>Does there exist some command for subtitles in the <code>\maketitle</code> thing?</p>
",31/03/2012 12:09,50,272,588
draw a rectangle with a solid dot in each corner,"<p>I want to draw a rectangle with a solid dot in each corner.  How can I do this?  </p>
",09/04/2012 11:56,2,273,131
what's the difference between Boundingbox and hiresBoundingbox?,"<p>What's the difference between Boudingbox and hiresBoundingbox in an eps figure?  </p>
",18/06/2013 11:56,8,274,704
Cyrillic in (La)TeX,"<p>What are different ways to use Cyrillic in (La)TeX? What are their pros and cons?</p>
",02/08/2010 15:19,98,275,970
How display LaTeX code in LaTeX document?,"<p>I'm making Beamer presentation. How I can display LaTeX code inside presentation?</p>
",13/10/2010 19:52,13,276,346
Possible to put an algorithm inside a \begin{itemize}?,"<p>Is it possible to put an algorithm inside a \begin{itemize} as one of the \items?</p>
",06/04/2014 18:35,1,277,434
How to cite a Table that has been copied from some other resources?,"<p>I've copied a table from internet and I want to cite that table. How can I do it?</p>
",27/01/2016 20:33,2,278,642
How to change the greek symbol $\nu$ into upright bold,"<p>How can I change the font of the Greek symbol <code>\nu</code> into upright bold?</p>
",11/03/2016 16:44,3,279,252
How to get dashed or dotted grid (\tkzGrid) in tkz-fct?,"<p>How to get dashed or dotted grid (<code>\tkzGrid</code>) in <code>tkz-fct</code>?</p>
",11/05/2017 13:54,1,280,687
Is there a svg to pdf_tex converter without Inkscape?,"<p>Is there a <code>.svg</code> to <code>.pdf_tex</code> converter without Inkscape?</p>
",15/08/2016 00:08,1,281,775
Can I sync sharelatex with onedrive?,"<p>I want to link sharelatex with my onedrive. However, I don't know how to make it.</p>
",13/04/2018 06:09,0,282,730
Invisible text that can be seen only in PDF viewer,"<p>How to make text that is visible only in PDF viewer and disappears when printing?</p>
",22/02/2018 18:37,1,283,504
Are `mathfont` and `mathspec` intended for same purpose?,"<p>What package of these two is better for changing math-mode fonts (to .ttf fonts)?</p>
",24/04/2019 05:02,8,284,526
Want to explore the latex template knowledge,"<p>Want to explore my latex template knowledge, any suggestions improve my knowledge</p>
",11/02/2020 05:35,0,285,464
Set default keepaspectratio=True for includegraphics,"<p>I never need images to stretch. How can I set a default true for keepaspectratio?</p>
",12/05/2020 22:01,0,286,851
Writing a \sim with the letter a centered above,"<p>I want something like \sim^a but with the 'a' in the top center not like a power.</p>
",30/06/2020 21:29,2,287,44
Small caps for the math mode,"<p>How do I make ""E"" in this equation a small cap?</p>

<pre><code>$x^E$
</code></pre>
",09/03/2011 12:40,22,288,885
Inserting two file with different preambles,"<p>Is it possible to insert a LaTeX file into another file without the same preamble?</p>
",06/12/2012 09:44,4,289,575
How can I center a header and restrict it to the first page?,"<p>Can anyone tell me how to center the header and display it only on the first page?</p>
",22/12/2012 23:38,4,290,325
Presentations best style,"<p>What is the best package/style to build a presentation? I use PDFSLID. Any better?</p>
",24/08/2010 18:01,6,291,383
shortcut for insert a Program Listing at LyX,"<p>There is a way to make a shortcut for Program Listing at LyX?</p>

<p>Thank you!</p>
",10/01/2014 08:18,2,292,712
Producing .bbl file with Lyx and JabRef,"<p>How do I produce the .bbl file required for arXiv using JabRef for bibtex and Lyx?</p>
",05/02/2014 23:51,1,293,682
How we can specify figure page in LaTeX?,"<p>How we can specify figure page? For example I want show a figure on top of page 5.</p>
",23/04/2015 08:35,4,294,994
"In ConTeXt, How can I get in the header (double sided document) the chapter's name in one page and the section name in the next one?","<p>Also I want chapters always starting on a right page.</p>

<p>Thanks in advance.</p>
",31/07/2015 09:55,4,295,533
Different formatting for a particular item in beamer TOC,"<p>Is it possible in beamer TOC to show a particular item (subsection) as grayed out?</p>
",02/11/2016 03:43,0,296,271
What is the difference between standard class files and contributed class files?,"<p>How to distinguish one of them from the other? Any help will be highly appreciated</p>
",24/01/2017 07:01,6,297,762
What LaTeX version should I download and use,"<p>I just want to build math formulas that look nice, no documents, no books.
Thanks</p>
",08/03/2019 22:50,1,298,397
"Numbered Definitions, Theorems in beamer","<p>How to get numbered Lemmas, Definitions, Theorems and so on in <code>beamer</code>?</p>
",10/08/2012 14:14,29,299,226
Which one should I use: \begin{align} or \begin{aligned}?,"<p>Which one should I use: <code>\begin{align}</code> or <code>\begin{aligned}</code>?</p>
",12/01/2011 09:02,25,300,418
Squiggly arrows in tikz,"<p>Is it possible to get a path in tikz that looks like <code>\rightsquigarrow</code>?</p>
",04/03/2011 20:04,15,301,199
Re-Indent in TeXShop,"<p>Is there something as Re-Indent (in Xcode) or Smart Indent (in Matlab) for TeXShop?</p>
",14/09/2011 07:06,2,302,58
Adding vertical space in a multi-line equation while using IEEEeqnarray,"<p>how can I add vertical space between lines in an equation while using IEEEeqnarray?</p>
",18/09/2011 19:39,6,303,28
Is usage of \ell instead of l in math mode best practice?,"<p>Is usage of <code>\ell</code> instead of <code>l</code> in math mode best practice?</p>
",25/04/2013 09:48,12,304,287
Can we display (fx as a movie) all decisions LaTex is making while typesetting our document?,"<p>I have just thought that it would be amazing to see LaTex in work while making art.</p>
",20/05/2013 16:38,4,305,755
How to make addition symbol inside in a circle?,"<p>I need to make + and a dot representing multiplication in a circle.
How to do it? </p>
",10/10/2013 23:57,21,306,842
Test whether token list is empty,"<p>Is it possible to test whether a token list register is empty without expanding it?</p>
",09/09/2010 16:11,31,307,810
Difference between flushright and raggedleft,"<p>What is the difference between <code>flushright</code> and <code>raggedleft</code>?</p>
",01/10/2010 03:49,40,308,377
How to make footnote bibliography?,"<p>I want the citation in the footnote of the page it is being cited. How can I do it?</p>
",18/11/2010 20:18,7,309,604
Is there a \ding symbol for a house?,"<p>Is there a \ding symbol for a house? I need it for my CV, but can't find it. Thanks</p>
",24/03/2015 12:15,18,310,667
How to install mathtools in Texworks,"<p>I would like to install mathtools in Texworks on windows 7. How can I do this task?</p>
",01/08/2015 12:56,1,311,628
"How do I draw line with TikZ showing 3 point A,B.C?","<p>I want to draw a line showing end points A and B with a Point C between using TikZ.</p>
",04/08/2015 02:43,0,312,610
Font size of figures and table captions,"<p>I need my figure and table captions to be of font size 8pt, how do I achieve this? </p>
",07/11/2014 17:50,0,313,705
Add \place using your computer location?,"<p>Is there a package that gives the <code>\place</code> using your computer location?</p>
",28/06/2016 18:05,1,314,981
Package documentation in TeXworks,"<p>Does exist a way to open/read the documentation of packages directly from TeXworks?</p>
",10/10/2017 14:56,2,315,319
LyX left subscript in math formula,"<p>Does anyone know how to make a subscript on the left hand side in LyX in a formula?</p>
",22/11/2016 19:57,2,316,992
Is there an opposite to Detexify website (ie. write the command and it displays the output in LaTeX style)?,"<p>As the title says. Such a website would be very useful to test things out. Thanks. </p>
",15/01/2017 12:00,2,317,362
Amsmath \implies as subscript,"<p>Is there a way to use the \implies without A and B like <code>$f_\implies$</code> ?</p>
",13/01/2018 14:48,1,318,670
How to write 1 Chapter instead of Chapter 1,"<p>I want to write 1 Chapter instead of Chapter 1. Any suggestion?</p>

<p>Thank you</p>
",10/03/2019 16:14,0,319,637
How does one implement drop caps in plain TeX?,"<p>How might one implement a simple drop cap in plain TeX without additional packages? </p>
",01/09/2012 23:24,13,320,558
How to type special/accented letters in LaTeX?,"<p>How to type these special letters from European languages in latex?
ä, é, and L'?</p>
",13/01/2011 03:03,194,321,268
Is there a LaTeX package to format computer language grammars?,"<p>I need to display BNF grammars, but couldn't find any LaTeX package that does this. </p>
",25/05/2011 02:31,7,322,855
Where can I find the standard LaTeX reference manual?,"<p>Like a semi-detailed user manual for LaTeX commands (<code>\newtheorem</code>, etc).</p>
",14/03/2012 02:47,11,323,451
How do I fill table cells with a background color?,"<p>I'd like to fill the cells of a table with a background color. How can this be done?</p>
",09/08/2010 16:56,39,324,741
"Can I include Chinese characters in listings? If so, how?","<p>I'd like to include Chinese characters in listings. Can it be done, and, if so, how?</p>
",08/04/2014 11:29,10,325,111
Biblatex and a relational database?,"<p>Is there a way of using a relation database (e.g. MySQL) as a bibsource in Biblatex?</p>
",13/04/2014 18:22,2,326,613
How do I do a contour integral in complex analysis,"<p>I want to do the integral sign over the sign gamma (integrating around a path gamma)</p>
",22/12/2015 07:06,2,327,819
How to determine the lua version in texlive 2015,"<p>I look for the <strong>lua</strong> interpreter version in luatex in texlive 2015 ? </p>
",09/05/2016 14:28,6,328,521
How to draw hyperbola with addplot,"<p>I want to draw hyperbola with <code>pgfplots</code>:</p>

<p>(x+1)^2/4-(y-2)^2/9=1</p>
",13/08/2016 02:24,2,329,247
What is the difference between TeX and Texinfo?,"<p>I want to know if I can compile raw TeX code with the <code>texi2pdf</code> program.</p>
",24/10/2016 17:20,10,330,766
emergency aid.The file I saved in the LaTeX program is missing,"<p>The file I saved in the LaTeX program is missing. How can I bring back what I write.</p>
",30/03/2018 13:48,1,331,824
How to use biblatex with msword,"<p>Is there some tool to use biblatex with msword? Has someone used it with Bibtex4Word?</p>
",13/11/2013 00:25,4,332,262
Package for avoiding hyphen in text?,"<p>Is there any package which can be used for avoiding hyphen in text?</p>

<p>Regards</p>
",10/12/2013 07:51,0,333,790
How to add several authors with different affiliations in beamer?,"<p>Is it possible to do this in <code>beamer</code>? Or do I have to use other packages?</p>
",11/05/2011 10:00,81,334,452
Which equations should be numbered?,"<p>Is the best practice to number all equations, or just those that will be referred to?</p>
",23/09/2011 09:59,33,335,107
Is gather* equivalent to displaymath?,"<p>Is <code>gather*</code> with one line of math equivalent to <code>displaymath</code>?</p>
",02/11/2011 19:12,8,336,513
Including Large Tables in a beamer Frame,"<p>What is the best way of including large tables in a <code>beamer</code> presentation?</p>
",13/12/2011 22:01,32,337,427
Open source fonts in LaTeX,"<p>Which LaTeX fonts are open source? Someone told me they are all, but I am not sure...</p>
",12/02/2014 12:11,13,338,348
"How to add multiple images in one place using captions like Figure x. a, Figure x.b?","<p>Is it possible to <strong>caption</strong> the two figures as Figure x.a, Figure x.b?</p>
",14/02/2014 12:30,1,339,699
Which essential packages I should install in TeXLive on Windows?,"<p>Which essential packages I should install for home use of LaTeX (TeXLive) on Windows?</p>
",30/09/2015 09:27,1,340,302
What do \@mkboth and \markboth do?,"<p>What do the toc related commands <code>\@mkboth</code> and <code>\markboth</code> do?</p>
",30/08/2014 15:18,13,341,753
Does spaces in $xy=1$ have differences between $x y = 1$?,"<p>Which way is more correct? I don't see any differences, but maybe I something missed?</p>
",25/11/2014 06:14,13,342,512
Different chess board using skak package,"<p>Is it possible to set up a different chess board size, say 4x16, using skak package? </p>
",12/03/2017 04:05,0,343,74
How to use the PANTONE color (SPOT color) in LaTeX2e version,"<p>How to use the PANTONE color (SPOT color) in LaTeX2e? Is there any package available?</p>
",08/11/2016 09:22,3,344,761
Affiliations on single line with RevTeX-4.1,"<p>I wonder if there is an easy way to get all affiliations on one line with RevTeX-4.1.</p>
",01/05/2018 03:57,0,345,851
How to add an extra page to abstract in Cambridge University thesis template?,"<p>I want to add an extra page   to abstract  in Cambridge University  thesis template. </p>
",20/05/2018 00:18,1,346,723
!pdfTeX error: pdflatex (file rdavid): Font rdavid at 720 not found,"<p>Getting this error while trying to compile my lyx doc, using lyx 2.3.2 on arch linux.</p>
",23/02/2019 12:07,0,347,513
Color sides of a surface in asymptote,"<p>Is there an easy way to color sides of a surface in different colors using Asymptote?</p>
",10/06/2019 20:15,1,348,115
How to add the same indentation (beginner ),"<p>How to add the same indentation to each line of a paragraphe automatically ?
Thanks </p>
",25/05/2020 20:07,0,349,539
Avoiding bottomrule to go to next page,"<p>Sometimes my longtable bottom rules end up in the following page. How do I avoid that?</p>
",08/08/2012 18:14,4,350,342
Identity of LaTeX default sans serif font,"<p>What the the default sans serif font in LaTeX? If it is a clone what is it based upon?</p>
",07/10/2011 09:16,13,351,577
How do I insert an empty line?,"<p>How can I add an empty line between to paragraphs, thus separating them more strongly?</p>
",18/03/2013 22:47,2,352,731
Can I release a class file created by me under gpl?,"<p>I have created a LaTeX class file. Can I release a class file created by me under gpl?</p>
",18/09/2013 15:08,15,353,738
Text in the top-right margin on every page,"<p>I am trying to put my name in the top-right margin on every page. How could I do this?</p>
",24/09/2010 05:49,4,354,154
"What causes latex.exe to be unable to import *.jpg, *.png, *.pdf directly?","<p>Internally, what causes latex.exe to be unable to import *.jpg, *.png, *.pdf directly?</p>
",29/12/2010 19:56,12,355,590
How to write an equation in LaTeX?,"<p>How do I write this equation in LaTeX?</p>

<p>Vo = ( R1/( R1+R4)-R2/(R2+R3)  ) x Vs</p>
",09/04/2015 03:44,0,356,917
Use of .bib JabRef Reference from TeXstudio,"<p>Jabref generates a .bib reference file.</p>

<p>How can I use this in the TeXstudio?</p>
",23/04/2015 01:11,2,357,339
Creating a Table without a caption,"<p>I'm using LyX and would like to suppress any caption under a Table. How can I do that?</p>
",17/05/2014 11:47,1,358,978
Style of Book is 17cmX24cm,"<p>I want to make my book with size 17cmX24cm but I don't know how to set it into my tex?</p>
",14/09/2016 01:33,0,359,859
"MWE for Norwegian index with Xindy, anyone?","<p>I would like to make a Norwegian index for a book. Is there a MWE
which can help me? </p>
",04/11/2017 17:07,0,360,677
Can I use the plantUML language in LaTeX?,"<p>I want to create diagrams. Preferable in LaTeX. Normally, I use the PlantUML language.</p>
",23/04/2018 22:47,5,361,194
How to Display Conditional Probability in LyX?,"<p>I am looking for a way to show <code>$P(\theta|X)$</code> but with the proper spacing?</p>
",26/11/2019 21:06,2,362,539
Difference between {} or = to give values in commands,"<p>Difference between <code>{}</code> or <code>=</code> to give values in latex commands.</p>
",07/02/2020 07:18,1,363,953
WYSIWYG LaTeX table editor,"<p>Are there any WYSIWYG LaTeX table editors that you recommend for creating LaTeX tables?</p>
",05/12/2013 14:31,3,364,910
Inner and outer circles of a polygon in LaTeX,"<p>How do I draw a circle and its surrounding polygons,
for example an octagon, in LaTeX?</p>
",07/03/2011 03:51,21,365,25
Which fonts support Cyrillic letters in TexLive?,"<p>TeXLive installs a lot of fonts. How can I know which of them support Cyrillic letters?</p>
",21/08/2013 17:59,2,366,953
Change the font of figure captions,"<p>I would like to italicize my figure captions and make them smaller.  How can I do that?</p>
",02/08/2010 16:35,111,367,236
What is the default font in latex beamer?,"<p>What is the default font in LaTeX beamer. I want to use it in an ooffice master layout.</p>
",13/11/2010 15:39,31,368,151
"Latex: How do I write ""\sim_G"" but so that the G is directly underneath the ""\sim""?","<p>In Latex, How do I write ""\sim_G"" but so that the G is directly underneath the ""\sim""? </p>
",25/02/2014 19:59,3,369,139
Automatically restore Texstudio session on startup,"<p>Is there an option to restore automatically the last session on startup with Texstudio?</p>
",28/06/2014 11:18,7,370,527
how can I insert a plot in Maple to a latex document?,"<p>I want to insert a plot done by Maple to a LaTeX document. Please specify its commands.</p>
",14/05/2016 11:27,1,371,347
How can I turn comments in listings automatically into footnotes?,"<p>Is it possible to automatically detect and convert comments in listings into footnotes?</p>
",09/10/2016 16:12,1,372,508
Is ProvidesFile better than ProvidesPackage or ProvidesClass,"<p>I want to know which one is suited when I try to create a package file or a class file?</p>
",08/01/2017 07:24,4,373,651
Overleaf V2 - How to get BBL File?,"<p>Overleaf V2 does not seem to have a way to get the BBL file for arxiv, how do I get it?</p>
",29/11/2018 05:40,10,374,399
Disable --output-directory in TeXpad,"<p>How can one disable the <code>--output-directory</code> from TeXpad compilation command?</p>
",15/11/2013 06:46,1,375,987
How do I write a recurring decimal in LaTeX?,"<p>Title says it all. Since I am a newbie, I don't know how to do this.</p>

<p>Any help?</p>
",04/10/2012 11:36,52,376,508
Inserting the MacTeX logo into a document,"<p>What is the MacTeX equivalent of <code>\LaTeX</code>? <code>\MacTeX</code> doesn't work.</p>
",17/12/2013 09:06,3,377,100
Background for table cells in LyX,"<p>The title speaks for itself - how do I choose a background color for table cells in LyX?</p>
",06/04/2011 14:50,7,378,258
Large $\forall$,"<p>How to get larger <code>$\forall$</code> symbol? Adding <code>\Big$</code> doesn't work.</p>
",08/04/2011 14:36,9,379,534
Link to open a LaTeX file,"<p>How can you create a link with <code>hyperref</code> in a PDF file to open a LaTeX file?</p>
",21/12/2012 12:13,5,380,989
Reduce the space above 'scrreprt's TOC,"<p>Is there a way to reduce the vertical space above the table of contents in the scrreprt?</p>
",05/04/2013 15:15,0,381,229
"Best symbol to use for ... in the case of 1,...,n","<p>What symbol do people find gives best results for ... where this is in the case 1,...,n?</p>
",09/02/2015 16:35,0,382,109
Bold math in the title of an article,"<p>Can this be done? I can't find anything anywhere on this -- which is very strange to me!</p>
",24/03/2014 21:44,6,383,641
Customization of the total page number,"<p>How to customize the total page number for all of the frames from the beginning, please?</p>
",22/05/2014 07:29,1,384,712
what package remote repository to use from tunisia and how can I configure my texmaker?,"<p>what package remote repository to use from tunisia and how can I configure my texmaker ?</p>
",10/03/2016 12:53,0,385,41
TeXLive 2016 for Windows,"<p>Do anyone have the TexLive 2016 installer for Windows? I can't find it on their website.</p>
",23/09/2017 09:27,3,386,145
How to plot greyscale histogram of an image,"<p>Is it possible to plot color and greyscale histogram of a given image directly in LaTeX?</p>
",05/05/2018 15:37,0,387,230
How to run TeXStudio on a PC?,"<p>I have already downloaded MiKTeX and TeXStudio and I would like to know how to run them.</p>
",20/09/2018 18:48,0,388,976
Is there any spell-check tool for LaTeX?,"<p>I found some webpages but not helpful to me.
I'm using MikTex 2.9 with pdfTeX.
Thanks.</p>
",13/01/2019 06:47,0,389,352
"How can I replace ""and"" with another conjunction? I write in Spanish","<p>How can I change 'and' in my cites? E.g. ""Rojas and Torres"" -- I want ""Rojas y Torres"". </p>
",22/02/2019 20:02,1,390,308
Is there a blackboard version of Omega (the capital letter),"<p>Is there a way to write a blackboard version of the Greek capital letter Omega in LaTeX?</p>
",31/01/2018 08:06,4,391,638
Hiding section slides in beamer but not in the headline,"<p>Is there a way to hide a section slide in beamer without removing it from the headline? </p>
",05/02/2018 11:06,1,392,316
"Latex, hyperlink, box size","<p>How can the bluish color box for hyperlink be reduced in size to better fit line height?</p>
",08/02/2020 21:45,4,393,606
How can I add « » in my sentence?,"<p>Does anybody know how to add these marks <strong>«</strong> bla bla <strong>»</strong>?</p>
",05/12/2013 22:51,3,394,334
"How to write N x N (with a multiplication symbol, for matrix dimensions)?","<p>I need to write something like NxN in LaTeX but I do not get how... How to do such thing?</p>
",06/04/2011 10:45,152,395,668
CircuiTikZ — create new component,"<p>How can I create a new component and include it in CircuiTikZ? For example a 4 bit adder?</p>
",27/05/2011 12:18,20,396,308
How can I add margin notes on inner side of a page in two sides mode?,"<p>How can I add margin notes on inner side of a page only for even pages in two sides mode?</p>
",07/07/2011 14:38,11,397,773
How to make a traditional division,"<p>How to make the traditional division? Like that:</p>

<pre><code>a |b_
r  c
</code></pre>
",13/05/2013 01:20,15,398,370
Switch to LyX Code Keyboard Shortcut,"<p>In LyX, is there a keyboard shortcut to switch from the standard input to LyX code input?</p>
",16/06/2012 00:21,4,399,650
"Using bibtex, how do I cite a musical composition?","<p>For example </p>

<blockquote>
  <p>S. Reich.  It’s Gonna Rain. 1965.</p>
</blockquote>
",23/01/2015 20:33,2,400,351
Add Watermark only on print,"<p>Is there a way to add a watermark to a document only when it is being physically printed?</p>
",06/05/2015 00:00,1,401,625
How can I edit the same bibliography in Jabref on multiple machines?,"<p>Do I have to copy and share both the .bib and .bak file?</p>

<p>Is this even possible?</p>
",07/03/2014 08:30,2,402,322
Unbalanced binary tree with forest,"<p>How can one draw an unbalanced binary tree - with missing nodes using the forest package?</p>
",12/04/2014 09:57,6,403,929
